Case,n,k,Noise [%],AMI GT,AMI Obs,AMI d_u,ARI GT,ARI Obs,ARI d_u
10% Noise,3000,10,10.0,100.0,41.78,65.0,100.0,10.02,24.44
20% Noise,3000,10,20.0,93.54,44.47,33.45,81.06,11.54,9.1
30% Noise,3000,10,30.0,93.34,25.54,48.72,80.15,4.63,15.32
40% Noise,3000,10,40.0,92.32,26.83,36.87,74.15,5.61,7.63
50% Noise,3000,10,50.0,92.38,43.32,40.66,74.44,12.74,14.96
60% Noise,3000,10,60.0,100.0,38.73,48.32,100.0,16.5,20.62
70% Noise,3000,10,70.0,93.62,8.35,58.53,81.64,0.66,24.11
80% Noise,3000,10,80.0,83.76,0.0,17.51,49.56,0.0,2.73
90% Noise,3000,10,90.0,100.0,0.0,21.78,100.0,0.0,3.79
Balanced Sizes,4000,10,0.0,93.57,88.49,87.34,81.1,67.04,69.35
Imbalanced Sizes,4000,10,0.0,100.0,93.54,88.59,100.0,80.97,67.39
Tiny Clusters,4000,80,0.0,96.59,19.65,25.57,84.6,0.67,1.21
Many Clusters + Noise,5000,40,30.0,88.84,6.08,20.37,43.35,0.24,1.07
Imbalanced + Noise,5000,20,20.0,92.49,1.79,60.74,69.59,0.03,16.92
